month,category_level,category1,category2,category3,retailer,total_sku_count,promo_sku_count,promo_sku_pct,avg_promo_days,month_days,promotion_frequency,avg_discount_pct,median_discount_pct,promo_index_matched_sku_count,promo_price_index
2024-01,category1,Bakery / Cereals / Spreads,ALL,ALL,AEON,2,0,0.0,0.0,31,0.0,,,,
2024-01,category1,Bakery / Cereals / Spreads,ALL,ALL,DCHFOOD,5,0,0.0,0.0,31,0.0,,,5.0,103.01552371510596
2024-01,category1,Bakery / Cereals / Spreads,ALL,ALL,JASONS,84,17,0.20238095238095238,3.8452380952380953,31,0.1240399385560676,0.2512336139213824,0.26605504587155965,84.0,101.81725239509683
2024-01,category1,Bakery / Cereals / Spreads,ALL,ALL,PARKNSHOP,82,15,0.18292682926829268,3.182926829268293,31,0.1026750590086546,0.22781742138884756,0.2222222222222222,65.0,97.82167859406533
2024-01,category1,Bakery / Cereals / Spreads,ALL,ALL,WELLCOME,87,17,0.19540229885057472,3.1494252873563218,31,0.10159436410826844,0.22047506024531735,0.25,85.0,99.72545610991706
2024-01,category1,Beer / Wines / Spirits,ALL,ALL,AEON,4,0,0.0,0.0,31,0.0,,,,
2024-01,category1,Beer / Wines / Spirits,ALL,ALL,DCHFOOD,7,0,0.0,0.0,31,0.0,,,6.0,105.89728296908373
2024-01,category1,Beer / Wines / Spirits,ALL,ALL,JASONS,30,20,0.6666666666666666,13.766666666666667,31,0.44408602150537635,0.21314756762239223,0.19615384615384618,30.0,97.74726307962847
2024-01,category1,Beer / Wines / Spirits,ALL,ALL,PARKNSHOP,48,31,0.6458333333333334,9.583333333333334,31,0.30913978494623656,0.24549131230976637,0.2,41.0,104.15643847237446
2024-01,category1,Beer / Wines / Spirits,ALL,ALL,WELLCOME,42,21,0.5,10.166666666666666,31,0.3279569892473118,0.23312386146348807,0.1794871794871795,41.0,96.91818536190209
2024-01,category1,Candies / Biscuits / Snacks,ALL,ALL,DCHFOOD,8,1,0.125,0.375,31,0.012096774193548387,,,6.0,110.4087112783626
2024-01,category1,Candies / Biscuits / Snacks,ALL,ALL,JASONS,141,107,0.7588652482269503,17.21276595744681,31,0.5552505147563487,0.2522541497364606,0.25,138.0,100.21876772886668
2024-01,category1,Candies / Biscuits / Snacks,ALL,ALL,MANNINGS,16,3,0.1875,4.0625,31,0.1310483870967742,0.1565576652601969,0.1145833333333333,16.0,103.85550633431417
2024-01,category1,Candies / Biscuits / Snacks,ALL,ALL,PARKNSHOP,170,102,0.6,14.141176470588235,31,0.45616698292220115,0.25743060256712746,0.24885844748858446,139.0,100.36181725173323
2024-01,category1,Candies / Biscuits / Snacks,ALL,ALL,WATSONS,3,0,0.0,0.0,31,0.0,,,3.0,97.6038689210784
2024-01,category1,Candies / Biscuits / Snacks,ALL,ALL,WELLCOME,151,112,0.7417218543046358,16.66887417218543,31,0.5377056184575945,0.2534517663274357,0.25,148.0,98.83695465313467
2024-01,category1,Dairy / Soy products / Eggs,ALL,ALL,AEON,1,0,0.0,0.0,31,0.0,,,1.0,98.00570621631748
2024-01,category1,Dairy / Soy products / Eggs,ALL,ALL,DCHFOOD,11,2,0.18181818181818182,0.5454545454545454,31,0.01759530791788856,,,11.0,104.00238539967242
2024-01,category1,Dairy / Soy products / Eggs,ALL,ALL,JASONS,161,119,0.7391304347826086,13.956521739130435,31,0.45021037868162694,0.2870804864202554,0.27551025778732546,161.0,100.14548933009517
2024-01,category1,Dairy / Soy products / Eggs,ALL,ALL,PARKNSHOP,163,124,0.7607361963190185,15.83435582822086,31,0.5107856718780922,0.23136966865389627,0.25,140.0,100.33324738230147
2024-01,category1,Dairy / Soy products / Eggs,ALL,ALL,WATSONS,8,5,0.625,5.0,31,0.16129032258064516,0.09486486486486487,0.08108108108108109,8.0,97.25166846189236
2024-01,category1,Dairy / Soy products / Eggs,ALL,ALL,WELLCOME,165,121,0.7333333333333333,13.836363636363636,31,0.4463343108504399,0.2761899922061474,0.25806451612903225,164.0,99.43580876049035
2024-01,category1,Drinks,ALL,ALL,AEON,3,0,0.0,0.0,31,0.0,,,2.0,106.13501241937593
2024-01,category1,Drinks,ALL,ALL,DCHFOOD,11,4,0.36363636363636365,1.0909090909090908,31,0.03519061583577712,,,10.0,106.9120926842609
2024-01,category1,Drinks,ALL,ALL,JASONS,122,81,0.6639344262295082,10.352459016393443,31,0.3339502908514014,0.23763426804205265,0.23684210526315788,122.0,100.92844715782793
2024-01,category1,Drinks,ALL,ALL,PARKNSHOP,150,120,0.8,10.84,31,0.3496774193548387,0.1791743629134231,0.16666666666666666,115.0,99.91625824852369
2024-01,category1,Drinks,ALL,ALL,WATSONS,6,4,0.6666666666666666,5.333333333333333,31,0.17204301075268816,0.16807692307692307,0.12,6.0,108.09811827587606
